Municipality Code,State,Municipality,Population,Observed Deaths,Deaths Counterfactual,Deaths Averted,Percent of Counterfactual Deaths Averted,"Observed Death Rate, per 100,000","Counterfactual Death Rate, per 100,000","Averted Death Rate, per 100,000"
110001,Rondônia,Alta Floresta D'Oeste,22516,12,17.18210536,5.182105362,30.15989748,53.29543436,76.31064737,23.01521301
110002,Rondônia,Ariquemes,111148,370,509.2054681,139.2054681,27.3377795,332.8894807,458.1328212,125.2433405
110004,Rondônia,Cacoal,86416,338,504.4096765,166.4096765,32.99097623,391.131272,583.6994034,192.5681314
110005,Rondônia,Cerejeiras,16088,10,116.7383605,106.7383605,91.4338355,62.15813028,725.6238223,663.465692
110006,Rondônia,Colorado do Oeste,15213,8,32.42218732,24.42218732,75.3255389,52.58660356,213.1215889,160.5349854
110007,Rondônia,Corumbiara,7052,2,2.00772906,0.00772906,0.384965274,28.36074872,28.47034968,0.10960096
110008,Rondônia,Costa Marques,19255,3,3.236344255,0.236344255,7.302815668,15.58036874,16.80781228,1.227443549
110009,Rondônia,Espigão D'Oeste,33009,44,60.21660039,16.21660039,26.93044823,133.2969796,182.4247944,49.12781481
110010,Rondônia,Guajará-Mirim,46930,3,4.481943387,1.481943387,33.06475025,6.392499467,9.550273572,3.157774104
110011,Rondônia,Jaru,51469,108,1170.406501,1062.406501,90.77243677,209.8350463,2274.0028,2064.167754
110012,Rondônia,Ji-Paraná,131026,355,576.4485288,221.4485288,38.41601075,270.9385923,439.9497266,169.0111343
110013,Rondônia,Machadinho D'Oeste,41724,5,7.935887671,2.935887671,36.99507595,11.98351069,19.01995895,7.036448258
110014,Rondônia,Nova Brasilândia D'Oeste,20504,0,0,0,NA,0,0,0
110015,Rondônia,Ouro Preto do Oeste,35445,38,143.9268189,105.9268189,73.59769341,107.208351,406.056761,298.8484101
110018,Rondônia,Pimenta Bueno,37098,23,30.05013879,7.050138792,23.46125201,61.99795137,81.00204537,19.004094
110020,Rondônia,Porto Velho,548952,1660,2079.10594,419.1059402,20.15798868,302.3943806,378.7409355,76.34655492
110025,Rondônia,Presidente Médici,18165,11,18.83598619,7.835986189,41.60114639,60.55601431,103.6938408,43.13782653
110026,Rondônia,Rio Crespo,3843,0,0,0,NA,0,0,0
110028,Rondônia,Rolim de Moura,55748,26,34.12894232,8.128942316,23.81832475,46.63844443,61.22002998,14.58158556
110030,Rondônia,Vilhena,104517,86,120.0934685,34.09346846,28.38911133,82.28326492,114.903287,32.62002206
110032,Rondônia,São Miguel do Guaporé,23147,9,12.12799822,3.127998219,25.79154583,38.88192854,52.39555113,13.51362258
110033,Rondônia,Nova Mamoré,32184,22,24.1271228,2.127122803,8.816313576,68.35694755,74.96620309,6.609255541
110034,Rondônia,Alvorada D'Oeste,13807,16,21.67405518,5.674055178,26.17901972,115.8832476,156.978744,41.09549633
110037,Rondônia,Alto Alegre dos Parecis,13268,14,17.74247311,3.74247311,21.09330017,105.5170335,133.7237949,28.20676146
110040,Rondônia,Alto Paraíso,22258,10,12.17772768,2.177727675,17.88287383,44.92766646,54.71168872,9.784022263
110045,Rondônia,Buritis,41043,62,73.05303185,11.05303185,15.13014802,151.0610823,177.9914525,26.93037022
110060,Rondônia,Cacaulândia,6307,12,16.34943408,4.349434075,26.60296408,190.2647852,259.2267968,68.96201166
110070,Rondônia,Campo Novo de Rondônia,14391,0,0,0,NA,0,0,0
110094,Rondônia,Cujubim,27131,16,17.64932867,1.649328671,9.344993804,58.97313037,65.05226004,6.07912967
110120,Rondônia,Ministro Andreazza,9461,1,1.001514823,0.001514823,0.151253157,10.56970722,10.58571845,0.016011233
110130,Rondônia,Mirante da Serra,10691,0,0,0,NA,0,0,0
110140,Rondônia,Monte Negro,16158,4,4.786758381,0.786758381,16.43614151,24.75553905,29.62469601,4.869156959
110145,Rondônia,Parecis,6319,3,3.750407888,0.750407888,20.00870067,47.47586643,59.35128799,11.87542155
110147,Rondônia,Primavera de Rondônia,2697,1,1,0,0,37.07823508,37.07823508,0
110149,Rondônia,São Francisco do Guaporé,21088,36,40.97190064,4.971900638,12.13490358,170.7132018,194.2901206,23.5769188
110150,Rondônia,Seringueiras,11846,7,10.28667697,3.286676968,31.95081345,59.09167652,86.83671254,27.74503603
110170,Rondônia,Urupá,11081,1,1.762485318,0.762485318,43.26193872,9.024456277,15.90547169,6.881015418
110175,Rondônia,Vale do Anari,11545,2,2.374435606,0.374435606,15.76945719,17.32351667,20.56678741,3.243270736
120001,Acre,Acrelândia,15721,10,12.05730986,2.057309857,17.06276012,63.60918517,76.69556553,13.08638037
120010,Acre,Brasiléia,27123,0,0,0,NA,0,0,0
120020,Acre,Cruzeiro do Sul,89760,72,131.6648117,59.66481167,45.31568527,80.21390374,146.6853962,66.4714925
120032,Acre,Jordão,8628,0,0,0,NA,0,0,0
