state,state_name,municipality,code,population
11,Rondônia,Alta Floresta D'Oeste,110001,22516
11,Rondônia,Alto Alegre dos Parecis,110037,13268
11,Rondônia,Alto Paraíso,110040,22258
11,Rondônia,Alvorada D'Oeste,110034,13807
11,Rondônia,Ariquemes,110002,111148
11,Rondônia,Buritis,110045,41043
11,Rondônia,Cabixi,110003,5067
11,Rondônia,Cacaulândia,110060,6307
11,Rondônia,Cacoal,110004,86416
11,Rondônia,Campo Novo de Rondônia,110070,14391
11,Rondônia,Candeias do Jamari,110080,28068
11,Rondônia,Castanheiras,110090,2923
11,Rondônia,Cerejeiras,110005,16088
11,Rondônia,Chupinguaia,110092,11755
11,Rondônia,Colorado do Oeste,110006,15213
11,Rondônia,Corumbiara,110007,7052
11,Rondônia,Costa Marques,110008,19255
11,Rondônia,Cujubim,110094,27131
11,Rondônia,Espigão D'Oeste,110009,33009
11,Rondônia,Governador Jorge Teixeira,110100,7130
11,Rondônia,Guajará-Mirim,110010,46930
11,Rondônia,Itapuã do Oeste,110110,10819
11,Rondônia,Jaru,110011,51469
11,Rondônia,Ji-Paraná,110012,131026
11,Rondônia,Machadinho D'Oeste,110013,41724
11,Rondônia,Ministro Andreazza,110120,9461
11,Rondônia,Mirante da Serra,110130,10691
11,Rondônia,Monte Negro,110140,16158
11,Rondônia,Nova Brasilândia D'Oeste,110014,20504
11,Rondônia,Nova Mamoré,110033,32184
11,Rondônia,Nova União,110143,6822
11,Rondônia,Novo Horizonte do Oeste,110050,8125
11,Rondônia,Ouro Preto do Oeste,110015,35445
11,Rondônia,Parecis,110145,6319
11,Rondônia,Pimenta Bueno,110018,37098
11,Rondônia,Pimenteiras do Oeste,110146,2127
11,Rondônia,Porto Velho,110020,548952
11,Rondônia,Presidente Médici,110025,18165
11,Rondônia,Primavera de Rondônia,110147,2697
11,Rondônia,Rio Crespo,110026,3843
11,Rondônia,Rolim de Moura,110028,55748
11,Rondônia,Santa Luzia D'Oeste,110029,5942
11,Rondônia,São Felipe D'Oeste,110148,4962
11,Rondônia,São Francisco do Guaporé,110149,21088
11,Rondônia,São Miguel do Guaporé,110032,23147
11,Rondônia,Seringueiras,110150,11846
11,Rondônia,Teixeirópolis,110155,4160
11,Rondônia,Theobroma,110160,10348
11,Rondônia,Urupá,110170,11081
11,Rondônia,Vale do Anari,110175,11545
11,Rondônia,Vale do Paraíso,110180,6490
11,Rondônia,Vilhena,110030,104517
12,Acre,Acrelândia,120001,15721
12,Acre,Assis Brasil,120005,7649
12,Acre,Brasiléia,120010,27123
12,Acre,Bujari,120013,10572
12,Acre,Capixaba,120017,12280
12,Acre,Cruzeiro do Sul,120020,89760
12,Acre,Epitaciolândia,120025,18979
12,Acre,Feijó,120030,34986
12,Acre,Jordão,120032,8628
12,Acre,Mâncio Lima,120033,19643
12,Acre,Manoel Urbano,120034,9701
12,Acre,Marechal Thaumaturgo,120035,19727
12,Acre,Plácido de Castro,120038,20147
12,Acre,Porto Acre,120080,19141
12,Acre,Porto Walter,120039,12497
12,Acre,Rio Branco,120040,419452
12,Acre,Rodrigues Alves,120042,19767
12,Acre,Santa Rosa do Purus,120043,6893
12,Acre,Sena Madureira,120050,47168
12,Acre,Senador Guiomard,120045,23446
12,Acre,Tarauacá,120060,43730
12,Acre,Xapuri,120070,19866
13,Amazonas,Alvarães,130002,16396
13,Amazonas,Amaturá,130006,11934
13,Amazonas,Anamã,130008,14292
13,Amazonas,Anori,130010,21937
13,Amazonas,Apuí,130014,22739
13,Amazonas,Atalaia do Norte,130020,20868
13,Amazonas,Autazes,130030,41005
13,Amazonas,Barcelos,130040,27772
13,Amazonas,Barreirinha,130050,32919
13,Amazonas,Benjamin Constant,130060,44873
13,Amazonas,Beruri,130063,20503
13,Amazonas,Boa Vista do Ramos,130068,20040
13,Amazonas,Boca do Acre,130070,34958
13,Amazonas,Borba,130080,42328
13,Amazonas,Caapiranga,130083,13482
13,Amazonas,Canutama,130090,15981
13,Amazonas,Carauari,130100,28719
13,Amazonas,Careiro,130110,38820
13,Amazonas,Careiro da Várzea,130115,31459
13,Amazonas,Coari,130120,86713
13,Amazonas,Codajás,130130,29691
13,Amazonas,Eirunepé,130140,36121
13,Amazonas,Envira,130150,20748
13,Amazonas,Fonte Boa,130160,16409
13,Amazonas,Guajará,130165,17193
13,Amazonas,Humaitá,130170,57195
13,Amazonas,Ipixuna,130180,31172
13,Amazonas,Iranduba,130185,49718
13,Amazonas,Itacoatiara,130190,104046
13,Amazonas,Itamarati,130195,7777
13,Amazonas,Itapiranga,130200,9312
13,Amazonas,Japurá,130210,1755
13,Amazonas,Juruá,130220,15495
13,Amazonas,Jutaí,130230,13462
13,Amazonas,Lábrea,130240,47685
13,Amazonas,Manacapuru,130250,99613
13,Amazonas,Manaquiri,130255,33981
13,Amazonas,Manaus,130260,2255903
13,Amazonas,Manicoré,130270,57405
13,Amazonas,Maraã,130280,18298
13,Amazonas,Maués,130290,66159
13,Amazonas,Nhamundá,130300,21710
13,Amazonas,Nova Olinda do Norte,130310,38665
13,Amazonas,Novo Airão,130320,20395
13,Amazonas,Novo Aripuanã,130330,26443
13,Amazonas,Parintins,130340,116439
13,Amazonas,Pauini,130350,19616
13,Amazonas,Presidente Figueiredo,130353,38095
13,Amazonas,Rio Preto da Eva,130356,34856
13,Amazonas,Santa Isabel do Rio Negro,130360,26566
13,Amazonas,Santo Antônio do Içá,130370,20889
13,Amazonas,São Gabriel da Cachoeira,130380,47031
13,Amazonas,São Paulo de Olivença,130390,40837
13,Amazonas,São Sebastião do Uatumã,130395,14678
13,Amazonas,Silves,130400,9289
13,Amazonas,Tabatinga,130406,68502
13,Amazonas,Tapauá,130410,16876
13,Amazonas,Tefé,130420,59250
13,Amazonas,Tonantins,130423,19038
13,Amazonas,Uarini,130426,13839
13,Amazonas,Urucará,130430,16007
13,Amazonas,Urucurituba,130440,24098
14,Roraima,Alto Alegre,140005,15249
14,Roraima,Amajari,140002,13561
14,Roraima,Boa Vista,140010,436591
14,Roraima,Bonfim,140015,12701
14,Roraima,Cantá,140017,19257
14,Roraima,Caracaraí,140020,22635
14,Roraima,Caroebe,140023,10595
14,Roraima,Iracema,140028,12637
14,Roraima,Mucajaí,140030,18482
14,Roraima,Normandia,140040,11772
14,Roraima,Pacaraima,140045,20108
14,Roraima,Rorainópolis,140047,31387
14,Roraima,São João da Baliza,140050,8492
14,Roraima,São Luiz,140060,8232
14,Roraima,Uiramutã,140070,11014
15,Pará,Abaetetuba,150010,160439
15,Pará,Abel Figueiredo,150013,7536
15,Pará,Acará,150020,55744
15,Pará,Afuá,150030,39910
15,Pará,Água Azul do Norte,150034,27797
15,Pará,Alenquer,150040,57390
15,Pará,Almeirim,150050,34044
15,Pará,Altamira,150060,117320
15,Pará,Anajás,150070,30091
15,Pará,Ananindeua,150080,540410
15,Pará,Anapu,150085,29312
15,Pará,Augusto Corrêa,150090,46937
15,Pará,Aurora do Pará,150095,32200
15,Pará,Aveiro,150100,16421
15,Pará,Bagre,150110,31967
15,Pará,Baião,150120,49454
15,Pará,Bannach,150125,3239
15,Pará,Barcarena,150130,129333
15,Pará,Belém,150140,1506420
15,Pará,Belterra,150145,17944
15,Pará,Benevides,150150,64780
15,Pará,Bom Jesus do Tocantins,150157,17254
15,Pará,Bonito,150160,16769
15,Pará,Bragança,150170,130122
15,Pará,Brasil Novo,150172,14883
15,Pará,Brejo Grande do Araguaia,150175,7357
15,Pará,Breu Branco,150178,68597
15,Pará,Breves,150180,104280
15,Pará,Bujaru,150190,29717
15,Pará,Cachoeira do Arari,150200,24355
15,Pará,Cachoeira do Piriá,150195,35307
15,Pará,Cametá,150210,140814
15,Pará,Canaã dos Carajás,150215,39103
15,Pará,Capanema,150220,69828
15,Pará,Capitão Poço,150230,54545
15,Pará,Castanhal,150240,205667
15,Pará,Chaves,150250,24175
15,Pará,Colares,150260,12175
15,Pará,Conceição do Araguaia,150270,48115
15,Pará,Concórdia do Pará,150275,34236
15,Pará,Cumaru do Norte,150276,14044
15,Pará,Curionópolis,150277,17764
15,Pará,Curralinho,150280,35530
15,Pará,Curuá,150285,14776
15,Pará,Curuçá,150290,41093
15,Pará,Dom Eliseu,150293,61206
15,Pará,Eldorado do Carajás,150295,34069
15,Pará,Faro,150300,6949
15,Pará,Floresta do Araguaia,150304,20742
15,Pará,Garrafão do Norte,150307,26155
15,Pará,Goianésia do Pará,150309,41678
15,Pará,Gurupá,150310,34127
15,Pará,Igarapé-Açu,150320,39234
15,Pará,Igarapé-Miri,150330,63367
15,Pará,Inhangapi,150340,12009
15,Pará,Ipixuna do Pará,150345,67170
15,Pará,Irituia,150350,32639
15,Pará,Itaituba,150360,101541
15,Pará,Itupiranga,150370,53439
15,Pará,Jacareacanga,150375,6952
15,Pará,Jacundá,150380,60517
15,Pará,Juruti,150390,59961
15,Pará,Limoeiro do Ajuru,150400,29623
15,Pará,Mãe do Rio,150405,30389
15,Pará,Magalhães Barata,150410,8598
15,Pará,Marabá,150420,287664
