state,date,agegroup,death,hosp
AC,2021-02-01,1,0,1
AC,2021-02-01,2,0,8
AC,2021-02-01,3,1,27
AC,2021-02-01,4,2,43
AC,2021-02-01,5,6,46
AC,2021-02-01,6,4,36
AC,2021-02-01,7,6,27
AC,2021-02-01,8,3,15
AC,2021-02-01,9,2,5
AC,2021-03-01,1,0,2
AC,2021-03-01,2,3,22
AC,2021-03-01,3,8,69
AC,2021-03-01,4,14,103
AC,2021-03-01,5,18,108
AC,2021-03-01,6,32,118
AC,2021-03-01,7,33,74
AC,2021-03-01,8,24,49
AC,2021-03-01,9,3,6
AC,2021-04-01,1,1,7
AC,2021-04-01,2,7,39
AC,2021-04-01,3,18,100
AC,2021-04-01,4,40,138
AC,2021-04-01,5,54,148
AC,2021-04-01,6,86,174
AC,2021-04-01,7,81,133
AC,2021-04-01,8,42,58
AC,2021-04-01,9,12,13
AC,2021-05-01,1,0,8
AC,2021-05-01,2,3,21
AC,2021-05-01,3,11,55
AC,2021-05-01,4,29,80
AC,2021-05-01,5,46,80
AC,2021-05-01,6,68,114
AC,2021-05-01,7,41,46
AC,2021-05-01,8,22,32
AC,2021-05-01,9,4,7
AC,2021-06-01,1,0,3
AC,2021-06-01,2,3,19
AC,2021-06-01,3,7,42
AC,2021-06-01,4,15,65
AC,2021-06-01,5,21,75
AC,2021-06-01,6,25,36
AC,2021-06-01,7,13,20
AC,2021-06-01,8,6,5
AC,2021-06-01,9,1,2
AC,2021-07-01,1,0,1
AC,2021-07-01,2,2,21
AC,2021-07-01,3,8,25
AC,2021-07-01,4,11,44
AC,2021-07-01,5,9,43
AC,2021-07-01,6,8,17
AC,2021-07-01,7,6,14
AC,2021-07-01,8,5,7
AC,2021-07-01,9,2,2
AC,2021-08-01,1,0,0
AC,2021-08-01,2,1,4
AC,2021-08-01,3,2,16
AC,2021-08-01,4,6,11
AC,2021-08-01,5,12,16
AC,2021-08-01,6,3,7
AC,2021-08-01,7,1,9
AC,2021-08-01,8,3,5
AC,2021-08-01,9,1,2
AC,2021-09-01,1,0,0
